 * Serving Flask app 'web.app'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5001
Press CTRL+C to quit
127.0.0.1 - - [19/Jul/2026 04:38:28] "GET /health HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:31] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:31] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:31] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:31] "GET /settings HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:31] "GET /metrics HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:31] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:31] "GET /tasks?assigned_to=admin&sort=due_date HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:31] "GET /settings HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:31] "GET /translations?status=pending HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:31] "GET /tasks?assigned_to=admin&sort=due_date HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:31] "GET /settings HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:31] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:32] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:32] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:32] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:32] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:32] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:32] "GET /translations?status=pending HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:32] "GET /api/tasks/export?assigned_to=admin HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:32] "GET /tasks?assigned_to=admin&sort=due_date HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:32] "GET /api/tasks/export?assigned_to=admin HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:32] "GET /translations?status=pending HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:32] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:32] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:32] "GET /metrics HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:32] "GET /api/tasks/export?assigned_to=admin HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:32] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:32] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:32] "GET /metrics HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:32] "GET /tasks?assigned_to=admin&sort=due_date HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /tasks?assigned_to=admin&sort=due_date HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /translations?status=pending HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /translations?status=pending HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /translations?status=pending HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /tasks?assigned_to=admin&sort=due_date HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /settings HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /settings HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /tasks?assigned_to=admin&sort=due_date HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /api/tasks/export?assigned_to=admin HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /tasks?assigned_to=admin&sort=due_date HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /tasks?assigned_to=admin&sort=due_date HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /metrics HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:33] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /translations?status=pending HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /api/tasks/export?assigned_to=admin HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /settings HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /settings HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /metrics HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /api/tasks/export?assigned_to=admin HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /settings HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /tasks?assigned_to=admin&sort=due_date HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /tasks?assigned_to=admin&sort=due_date HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /translations?status=pending HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /metrics HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /api/tasks/export?assigned_to=admin HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /api/tasks/export?assigned_to=admin HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /api/tasks/export?assigned_to=admin HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /translations?status=pending HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /metrics HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /settings HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /translations?status=pending HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /metrics HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:34] "GET /tasks?assigned_to=admin&sort=due_date HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /translations?status=pending HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /translations?status=pending HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /translations?status=pending HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /translations?status=pending HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /api/tasks/export?assigned_to=admin HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /translations?status=pending HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /translations?status=pending HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /settings HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /translations?status=pending HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /tasks?assigned_to=admin&sort=due_date HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /metrics HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /tasks?assigned_to=admin&sort=due_date HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /settings HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /translations?status=pending HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /settings HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /metrics HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /translations?status=pending HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /dashboard/tasks?sort=-updated_at HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /api/tasks/export?assigned_to=admin HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 04:38:35] "GET /translations?status=pending HTTP/1.1" 200 -
